,task,input,output
50416,synonyms,bogus,fake
50940,synonyms,command,control
51095,synonyms,infrastructure,base
50021,synonyms,scholar,student
51345,synonyms,healthy,sound
51899,synonyms,largely,mostly
51058,synonyms,wheel,roll
51001,synonyms,comparison,compare
50655,synonyms,push,force
50162,synonyms,helping,portion
51377,synonyms,caller,company
52191,synonyms,sketch,study
51782,synonyms,merit,virtue
51645,synonyms,motivate,move
50020,synonyms,property,holding
51611,synonyms,defense,defence
51545,synonyms,built,reinforced
50351,synonyms,consistency,body
52003,synonyms,permanent,lasting
49987,synonyms,rare,uncommon
51677,synonyms,dodge,scheme
51956,synonyms,solution,result
51484,synonyms,bell,toll
51144,synonyms,reality,realism
51225,synonyms,eating,feeding
50064,synonyms,constitution,organization
50678,synonyms,diagnose,name
50041,synonyms,manuscript,ms
51721,synonyms,cap,crest
51243,synonyms,wound,injury
50368,synonyms,serial,series
50530,synonyms,tested,tried
51969,synonyms,twenty,20
50356,synonyms,boyfriend,fellow
52165,synonyms,dull,slow
51979,synonyms,license,permission
50455,synonyms,loss,red
50892,synonyms,spot,bit
50178,synonyms,coverage,reporting
51998,synonyms,privy,secret
50957,synonyms,pound,lb
50367,synonyms,director,manager
51408,synonyms,attest,evidence
50968,synonyms,fitting,meet
50832,synonyms,note,line
51497,synonyms,testify,show
50241,synonyms,jurisprudence,law
51747,synonyms,foundation,base
50508,synonyms,controversy,argument
51314,synonyms,answer,response
51403,synonyms,procure,secure
52146,synonyms,distinctly,clearly
50686,synonyms,undertake,attempt
51642,synonyms,exclude,except
50347,synonyms,police,law
50608,synonyms,way,path
50575,synonyms,feature,characteristic
50668,synonyms,amazing,awful
51200,synonyms,erstwhile,old
51307,synonyms,tenor,strain
50089,synonyms,relatively,comparatively
51253,synonyms,cover,deal
50004,synonyms,sex,gender
52083,synonyms,provide,supply
50561,synonyms,dim,faint
50621,synonyms,barter,trade
52199,synonyms,series,serial
51197,synonyms,once,formerly
50309,synonyms,monster,devil
50091,synonyms,savage,blast
51236,synonyms,exit,leave
52015,synonyms,contented,content
51849,synonyms,summarize,sum
50350,synonyms,brood,cover
51017,synonyms,entire,full
51700,synonyms,failure,loser
52123,synonyms,disturbance,upset
50549,synonyms,profoundly,deeply
52075,synonyms,pale,sick
50506,synonyms,absorb,draw
51468,synonyms,broadcast,program
51784,synonyms,abstraction,abstract
50822,synonyms,wait,waiting
50358,synonyms,radius,r
50671,synonyms,citizenry,people
50036,synonyms,asset,plus
51806,synonyms,beloved,love
50654,synonyms,suffering,hurt
52046,synonyms,investigate,inquire
50476,synonyms,wash,washing
50346,synonyms,bankruptcy,failure
50011,synonyms,impression,effect
51409,synonyms,development,developing
50893,synonyms,crush,press
50031,synonyms,routine,function
50542,synonyms,flow,stream
51018,synonyms,satisfactory,acceptable
50747,synonyms,link,tie
50513,synonyms,crippled,game
51226,synonyms,script,book
50265,synonyms,diary,journal
50306,synonyms,school,schooling
50407,synonyms,menstruation,period
50926,synonyms,aristocratic,blue
50120,synonyms,broth,stock
51423,synonyms,gratifying,sweet
51834,synonyms,tour,circuit
51693,synonyms,reduction,reducing
51893,synonyms,component,factor
51022,synonyms,sensible,sensitive
50875,synonyms,darling,favorite
51903,synonyms,advancing,forward
52139,synonyms,neglect,miss
51566,synonyms,converse,discourse
51851,synonyms,front,look
50547,synonyms,sword,steel
51088,synonyms,compact,thick
50652,synonyms,survival,selection
50680,synonyms,ultimately,finally
50988,synonyms,preferably,rather
51794,synonyms,network,web
51049,synonyms,bigger,larger
50376,synonyms,flower,prime
51659,synonyms,medieval,gothic
50274,synonyms,behavior,conduct
51451,synonyms,motivation,need
51125,synonyms,brush,encounter
50380,synonyms,peer,equal
51710,synonyms,twilight,fall
52178,synonyms,top,cover
52185,synonyms,line,contrast
51287,synonyms,unite,combine
51050,synonyms,reaction,response
51577,synonyms,disposition,temperament
50607,synonyms,era,epoch
51519,synonyms,cautiously,carefully
51005,synonyms,develop,grow
51274,synonyms,cruise,sail
50179,synonyms,keep,hold
50099,synonyms,fabrication,assembly
50563,synonyms,behavioral,behavioural
50930,synonyms,seriously,earnestly
51490,synonyms,tract,pamphlet
51724,synonyms,prize,value
51009,synonyms,utilitarian,useful
50159,synonyms,early,other
51941,synonyms,rake,blood
51712,synonyms,lap,circle
51032,synonyms,compound,combine
51599,synonyms,sleep,nap
51475,synonyms,excessively,too
50704,synonyms,disagree,differ
50990,synonyms,abdominal,ab
51559,synonyms,economic,economical
50418,synonyms,nucleotide,base
51689,synonyms,devil,dickens
51138,synonyms,needed,required
51860,synonyms,dainty,prim
51917,synonyms,steamer,steam
51488,synonyms,section,segment
51275,synonyms,bitterness,bitter
50467,synonyms,seven,7
51723,synonyms,poetry,verse
51567,synonyms,modesty,reserve
51160,synonyms,dealings,traffic
50618,synonyms,fully,full
51513,synonyms,receptive,open
50259,synonyms,aforesaid,said
51608,synonyms,road,route
50803,synonyms,spoke,radius
50299,synonyms,social,societal
50343,synonyms,condition,term
51601,synonyms,nearer,closer
50536,synonyms,departure,going
50030,synonyms,minor,small
50648,synonyms,acting,playing
50805,synonyms,consultation,audience
50662,synonyms,truthful,true
51474,synonyms,weigh,press
52060,synonyms,multiplication,times
50283,synonyms,administrator,executive
52061,synonyms,cautious,conservative
50307,synonyms,issue,number
50960,synonyms,monetary,pecuniary
50903,synonyms,core,nucleus
52168,synonyms,percentage,percent
50505,synonyms,server,host
50207,synonyms,sphere,area
51121,synonyms,giving,gift
51387,synonyms,quiz,test
52105,synonyms,illness,sickness
50574,synonyms,dumb,silent
50733,synonyms,contemplation,reflection
51588,synonyms,artillery,gun
51315,synonyms,snatch,bit
50537,synonyms,formation,shaping
50209,synonyms,recipe,formula
51021,synonyms,organism,being
51156,synonyms,aggression,hostility
52122,synonyms,steer,point
51336,synonyms,platform,program
51666,synonyms,declared,stated
50317,synonyms,destiny,fate
52100,synonyms,indicate,point
51985,synonyms,covering,cover
51344,synonyms,sweetness,sweet
50057,synonyms,destroy,ruin
51639,synonyms,comfortable,easy
52190,synonyms,south,southward
50167,synonyms,overcome,master
50498,synonyms,torso,body
52162,synonyms,herd,crowd
51469,synonyms,meanwhile,meantime
50436,synonyms,reasonable,sensible
51012,synonyms,forward,forwards
51150,synonyms,approximate,near
51201,synonyms,salvage,save
51233,synonyms,president,chair
51044,synonyms,sharpen,point
51682,synonyms,previous,old
51171,synonyms,decline,correct
50273,synonyms,creature,tool
50499,synonyms,token,item
50403,synonyms,opinion,thought
50784,synonyms,distillery,still
50727,synonyms,beg,pray
51824,synonyms,framework,fabric
51460,synonyms,stem,halt
51781,synonyms,language,speech
51696,synonyms,psychoanalysis,analysis
52037,synonyms,craft,trade
52346,taxonomy_animal,"fly, cook, jellyfish, bat, giraffe, glove","giraffe, bat, jellyfish, fly"
53632,taxonomy_animal,"shark, train, bat, fly, green","bat, shark, fly"
54656,taxonomy_animal,"rabbit, bread, hippo, bee, burger, zebra, pajamas","zebra, hippo, rabbit, bee"
54285,taxonomy_animal,"frog, dolphin, spider, fly, plane, pancake","frog, fly, dolphin, spider"
54446,taxonomy_animal,"snake, dolphin, mechanic, spaceship, bee, purple, fly","fly, dolphin, snake, bee"
52786,taxonomy_animal,"white, sheep, donkey, jacket, tortoise, horse","horse, tortoise, donkey, sheep"
53819,taxonomy_animal,"bee, brown, sheep, horse, photographer","sheep, bee, horse"
53160,taxonomy_animal,"duck, train, dolphin, frog, businessman","dolphin, duck, frog"
52552,taxonomy_animal,"elephant, chicken, bat, shark, photographer, yellow, truck","shark, chicken, bat, elephant"
53508,taxonomy_animal,"goat, sheep, penguin, engineer, mechanic, donkey, lemon","penguin, sheep, donkey, goat"
52891,taxonomy_animal,"journalist, camel, designer, taxi, snail, jellyfish, donkey","snail, donkey, camel, jellyfish"
55081,taxonomy_animal,"cat, jellyfish, doctor, pear, penguin","penguin, jellyfish, cat"
53375,taxonomy_animal,"brown, dolphin, purple, horse, butterfly","butterfly, dolphin, horse"
53793,taxonomy_animal,"cook, mouse, swan, panda, zebra, artist","panda, mouse, swan, zebra"
54411,taxonomy_animal,"camel, jellyfish, businessman, spider, belt, chicken, red","camel, chicken, spider, jellyfish"
52399,taxonomy_animal,"nurse, white, frog, fly, tiger","tiger, frog, fly"
53642,taxonomy_animal,"lizard, sausage, cat, bee, frog, doctor","cat, frog, lizard, bee"
52953,taxonomy_animal,"businessman, giraffe, zebra, spider, journalist, teacher","spider, giraffe, zebra"
52483,taxonomy_animal,"businessman, dress, goat, elephant, parrot, helicopter","elephant, goat, parrot"
52729,taxonomy_animal,"yellow, jellyfish, sweater, donkey, engineer, camel","donkey, jellyfish, camel"
54083,taxonomy_animal,"hippo, butterfly, spider, actor, kiwi, yellow","hippo, spider, butterfly"
54526,taxonomy_animal,"banana, rabbit, giraffe, red, swan, pear","swan, rabbit, giraffe"
54762,taxonomy_animal,"lion, pajamas, yellow, giraffe, ambulance, fly","fly, giraffe, lion"
55021,taxonomy_animal,"train, hippo, duck, zebra, spider, plane","spider, hippo, zebra, duck"
54919,taxonomy_animal,"plane, dolphin, white, donkey, snail, doctor","donkey, dolphin, snail"
53101,taxonomy_animal,"butterfly, camel, skirt, dolphin, journalist, sheep","dolphin, sheep, camel, butterfly"
53661,taxonomy_animal,"salad, orange, parrot, octopus, giraffe, lion","giraffe, lion, octopus, parrot"
54598,taxonomy_animal,"journalist, bee, swimsuit, spider, gray, cat","cat, bee, spider"
53465,taxonomy_animal,"snail, purple, panda, giraffe, tortoise, photographer","panda, snail, giraffe, tortoise"
54684,taxonomy_animal,"penguin, ambulance, nurse, camel, photographer, octopus","penguin, camel, octopus"
54480,taxonomy_animal,"lizard, butterfly, ship, parrot, chicken, engineer","butterfly, chicken, parrot, lizard"
52824,taxonomy_animal,"potato, fly, sheep, bee, tractor, cook","bee, fly, sheep"
53736,taxonomy_animal,"swimsuit, snake, shark, hippo, pasta, zebra","snake, hippo, zebra, shark"
53523,taxonomy_animal,"rabbit, monkey, elephant, plane, trousers","monkey, rabbit, elephant"
53367,taxonomy_animal,"whale, tractor, snail, engineer, bee, shirt, frog","bee, whale, frog, snail"
53638,taxonomy_animal,"photographer, pasta, dolphin, lion, whale, purple","whale, dolphin, lion"
52750,taxonomy_animal,"swimsuit, swan, sheep, tiger, engineer","swan, tiger, sheep"
53718,taxonomy_animal,"camel, swimsuit, snake, blue, dolphin","snake, dolphin, camel"
52950,taxonomy_animal,"monkey, goat, yellow, donkey, taxi, ambulance","donkey, goat, monkey"
52893,taxonomy_animal,"spider, giraffe, dress, parrot, pear, green","spider, giraffe, parrot"
52458,taxonomy_animal,"hippo, snail, elephant, blue, swimsuit, spider","spider, snail, hippo, elephant"
54231,taxonomy_animal,"red, duck, lion, zebra, pink, cat, bus","duck, lion, cat, zebra"
54994,taxonomy_animal,"onion, doctor, tortoise, engineer, butterfly, frog","butterfly, tortoise, frog"
54085,taxonomy_animal,"truck, duck, artist, octopus, parrot, panda","octopus, panda, duck, parrot"
52499,taxonomy_animal,"giraffe, cat, camel, goat, waiter, jacket, designer","camel, goat, cat, giraffe"
55065,taxonomy_animal,"meatballs, zebra, snail, onion, jellyfish, vegetable","jellyfish, snail, zebra"
54483,taxonomy_animal,"truck, lion, car, parrot, frog","frog, lion, parrot"
54721,taxonomy_animal,"pajamas, dress, bat, donkey, red, hippo","hippo, donkey, bat"
53773,taxonomy_animal,"pajamas, whale, apple, panda, monkey, glove, rabbit","monkey, rabbit, whale, panda"
54737,taxonomy_animal,"cat, penguin, camel, white, journalist","camel, penguin, cat"
52830,taxonomy_animal,"swan, sheep, lizard, apple, belt, frog, milk","frog, sheep, swan, lizard"
52954,taxonomy_animal,"dentist, giraffe, swan, actor, bee","giraffe, swan, bee"
52795,taxonomy_animal,"cook, scarf, cat, helicopter, chicken, snake, camel","cat, camel, chicken, snake"
53884,taxonomy_animal,"donkey, zebra, businessman, swan, tractor","zebra, swan, donkey"
52598,taxonomy_animal,"actor, waiter, parrot, tiger, duck","parrot, tiger, duck"
53697,taxonomy_animal,"businesswoman, bee, white, sweater, cat, elephant, jellyfish","elephant, cat, bee, jellyfish"
53449,taxonomy_animal,"octopus, butterfly, shark, watermelon, snail, teacher","snail, shark, butterfly, octopus"
54223,taxonomy_animal,"snail, giraffe, fly, white, dentist","fly, snail, giraffe"
52982,taxonomy_animal,"sheep, sweater, bee, businessman, spaceship, tiger","tiger, bee, sheep"
53209,taxonomy_animal,"octopus, olives, shirt, hippo, cat","cat, hippo, octopus"
52255,taxonomy_animal,"yellow, panda, penguin, scarf, monkey, goat","monkey, panda, goat, penguin"
52536,taxonomy_animal,"sheep, cook, red, lizard, spider","sheep, lizard, spider"
53043,taxonomy_animal,"bee, duck, olives, blue, monkey, parrot","parrot, duck, bee, monkey"
52980,taxonomy_animal,"tiger, green, hat, zebra, tortoise, lizard","zebra, tortoise, tiger, lizard"
54101,taxonomy_animal,"bee, panda, photographer, jellyfish, bat, blue, jacket","panda, bat, bee, jellyfish"
52240,taxonomy_animal,"cat, penguin, vegetable, teacher, chicken, motorway","cat, chicken, penguin"
53070,taxonomy_animal,"shirt, butterfly, jellyfish, frog, gold","butterfly, frog, jellyfish"
54375,taxonomy_animal,"journalist, gray, octopus, panda, shark, monkey, pink","shark, monkey, panda, octopus"
52662,taxonomy_animal,"whale, cat, helicopter, octopus, white","cat, whale, octopus"
54883,taxonomy_animal,"dolphin, rabbit, sheep, lizard, ambulance, mango, nurse","rabbit, dolphin, sheep, lizard"
54200,taxonomy_animal,"trousers, goat, swimsuit, bat, truck, tortoise","tortoise, goat, bat"
54581,taxonomy_animal,"pajamas, plane, dolphin, green, bee, cat, elephant","bee, cat, elephant, dolphin"
53771,taxonomy_animal,"zebra, car, ship, egg, snail, spider","snail, spider, zebra"
52384,taxonomy_animal,"parrot, spider, shirt, ship, cat, butterfly, actor","spider, butterfly, cat, parrot"
53930,taxonomy_animal,"duck, octopus, elephant, actor, potato, rabbit","rabbit, octopus, duck, elephant"
53296,taxonomy_animal,"snake, tiger, donkey, nurse, businesswoman, tortoise","snake, donkey, tiger, tortoise"
52494,taxonomy_animal,"shirt, giraffe, snake, bat, swan, businessman","giraffe, swan, bat, snake"
52905,taxonomy_animal,"jacket, purple, elephant, cat, dolphin, whale","whale, dolphin, elephant, cat"
52882,taxonomy_animal,"mechanic, onion, orange, bat, lizard, mouse","bat, lizard, mouse"
53131,taxonomy_animal,"giraffe, elephant, candy, octopus, brown, monkey","giraffe, monkey, elephant, octopus"
54511,taxonomy_animal,"chicken, purple, tortoise, snail, shoe","chicken, tortoise, snail"
52809,taxonomy_animal,"jellyfish, parrot, donkey, swimsuit, nurse","parrot, jellyfish, donkey"
54017,taxonomy_animal,"red, bat, frog, orange, yellow, cat, chicken","cat, chicken, frog, bat"
53206,taxonomy_animal,"cat, swan, jellyfish, soup, spaceship, lemon","jellyfish, cat, swan"
54962,taxonomy_animal,"snail, tortoise, bee, journalist, teacher","tortoise, snail, bee"
54847,taxonomy_animal,"glove, duck, butterfly, truck, penguin, bee","butterfly, penguin, duck, bee"
53759,taxonomy_animal,"orange, yoghurt, lizard, fly, carrot, cat","cat, fly, lizard"
53226,taxonomy_animal,"snake, motorway, rabbit, shoe, mouse, hippo","snake, hippo, rabbit, mouse"
54732,taxonomy_animal,"snake, taxi, monkey, bat, helicopter","snake, bat, monkey"
54508,taxonomy_animal,"cook, yellow, purple, tortoise, snake, chicken","chicken, tortoise, snake"
52728,taxonomy_animal,"sheep, artist, giraffe, tortoise, kiwi, swan","tortoise, swan, sheep, giraffe"
54513,taxonomy_animal,"dolphin, bat, gray, snail, red","dolphin, bat, snail"
54850,taxonomy_animal,"frog, purple, tortoise, truck, salad, lizard","lizard, frog, tortoise"
53891,taxonomy_animal,"tractor, bat, frog, businessman, panda, green","bat, panda, frog"
54912,taxonomy_animal,"jacket, businessman, snail, dolphin, mouse, horse","snail, horse, mouse, dolphin"
54338,taxonomy_animal,"dress, donkey, zebra, lion, waiter, pea","zebra, donkey, lion"
52564,taxonomy_animal,"businesswoman, bee, tiger, swimsuit, octopus, shark, spaceship","octopus, bee, tiger, shark"
52902,taxonomy_animal,"camel, dolphin, businesswoman, monkey, shirt","monkey, dolphin, camel"
54751,taxonomy_animal,"goat, motorway, jacket, jellyfish, bat","goat, jellyfish, bat"
54585,taxonomy_animal,"hippo, green, lion, panda, shoe","lion, hippo, panda"
54837,taxonomy_animal,"sock, butterfly, nurse, hippo, pajamas, frog","butterfly, hippo, frog"
52909,taxonomy_animal,"zebra, donkey, lion, car, businessman","zebra, lion, donkey"
54812,taxonomy_animal,"dolphin, ship, horse, lion, designer, actor","dolphin, horse, lion"
52482,taxonomy_animal,"photographer, pajamas, frog, mouse, duck, chicken, rice","mouse, frog, chicken, duck"
54195,taxonomy_animal,"swan, lion, belt, tiger, swimsuit, chocolate","lion, tiger, swan"
54944,taxonomy_animal,"donkey, snake, lion, dress, shirt, frog, pajamas","snake, lion, donkey, frog"
53874,taxonomy_animal,"rabbit, parrot, spaceship, car, lemon, camel, butterfly","parrot, rabbit, butterfly, camel"
54217,taxonomy_animal,"blue, gold, duck, cat, panda","panda, cat, duck"
54290,taxonomy_animal,"cook, monkey, sweater, giraffe, photographer, snake","snake, monkey, giraffe"
53980,taxonomy_animal,"businesswoman, hippo, chicken, fly, tortoise, tractor","tortoise, fly, hippo, chicken"
53865,taxonomy_animal,"rabbit, camel, swimsuit, lion, actor, duck","lion, duck, rabbit, camel"
54030,taxonomy_animal,"goat, brown, elephant, skirt, sheep, orange","goat, sheep, elephant"
53647,taxonomy_animal,"white, zebra, yellow, lion, duck, snail, gray","lion, duck, zebra, snail"
53259,taxonomy_animal,"orange, glove, camel, spider, tiger, ambulance, horse","horse, spider, camel, tiger"
53813,taxonomy_animal,"rabbit, hat, spider, lemon, whale","spider, rabbit, whale"
52243,taxonomy_animal,"dolphin, octopus, swan, honey, carrot, lizard","octopus, dolphin, swan, lizard"
52614,taxonomy_animal,"giraffe, rabbit, spider, spaceship, jellyfish, sweater, sausage","jellyfish, giraffe, rabbit, spider"
53437,taxonomy_animal,"bat, elephant, dolphin, tiger, taxi, gray, blue","bat, tiger, elephant, dolphin"
52527,taxonomy_animal,"ship, octopus, pancake, lion, orange, butterfly","lion, butterfly, octopus"
53809,taxonomy_animal,"swimsuit, scarf, duck, panda, red, zebra, bee","zebra, bee, panda, duck"
54948,taxonomy_animal,"horse, sheep, butter, butterfly, orange","horse, sheep, butterfly"
55196,taxonomy_animal,"businesswoman, sweater, butterfly, elephant, lion","butterfly, lion, elephant"
54891,taxonomy_animal,"hippo, elephant, orange, tractor, swimsuit, mouse","mouse, hippo, elephant"
52503,taxonomy_animal,"truck, soup, duck, tractor, goat, camel, whale","duck, goat, whale, camel"
53994,taxonomy_animal,"sheep, photographer, goat, motorway, pineapple, spider","goat, sheep, spider"
53551,taxonomy_animal,"giraffe, panda, sweater, dolphin, carrot, artist","giraffe, panda, dolphin"
54170,taxonomy_animal,"sheep, tractor, trousers, fly, potato, lion, horse","sheep, horse, lion, fly"
53458,taxonomy_animal,"bat, mouse, orange, hippo, horse, bus, pear","bat, hippo, mouse, horse"
52721,taxonomy_animal,"parrot, snake, sheep, taxi, ship","sheep, parrot, snake"
54499,taxonomy_animal,"elephant, bus, mouse, bee, photographer, panda","bee, elephant, panda, mouse"
54211,taxonomy_animal,"mechanic, green, lizard, spider, swan, mouse","mouse, spider, swan, lizard"
52833,taxonomy_animal,"parrot, candy, butterfly, cat, doctor","parrot, butterfly, cat"
55067,taxonomy_animal,"shoe, car, waiter, mouse, tiger, goat","goat, tiger, mouse"
55202,taxonomy_animal,"waiter, sweater, jellyfish, spider, elephant, bee","bee, jellyfish, spider, elephant"
53354,taxonomy_animal,"swan, chicken, tiger, snail, sock, journalist","tiger, chicken, swan, snail"
53433,taxonomy_animal,"camel, engineer, horse, shark, octopus, ice cream","octopus, horse, camel, shark"
52301,taxonomy_animal,"ambulance, elephant, octopus, sweater, mechanic, swan, cat","swan, elephant, octopus, cat"
54176,taxonomy_animal,"sandwich, elephant, cat, zebra, orange","zebra, elephant, cat"
54334,taxonomy_animal,"bean, rice, cook, chicken, snail, hippo","snail, chicken, hippo"
52636,taxonomy_animal,"lizard, bee, scarf, frog, orange, rabbit","bee, rabbit, lizard, frog"
53777,taxonomy_animal,"cat, pancake, snake, gold, tiger","cat, tiger, snake"
52692,taxonomy_animal,"cook, horse, burger, goat, snail","goat, horse, snail"
52835,taxonomy_animal,"engineer, jellyfish, butterfly, designer, octopus, pineapple, lion","jellyfish, octopus, butterfly, lion"
54423,taxonomy_animal,"orange, motorway, donkey, horse, spaceship, panda","horse, donkey, panda"
54800,taxonomy_animal,"lion, yellow, pajamas, zebra, parrot, mouse, spaceship","parrot, zebra, mouse, lion"
54975,taxonomy_animal,"snail, spider, bean, goat, jellyfish, yellow","goat, snail, jellyfish, spider"
53170,taxonomy_animal,"penguin, gold, candy, lizard, tortoise, giraffe, sock","tortoise, penguin, lizard, giraffe"
52941,taxonomy_animal,"snake, parrot, mechanic, swan, shark, blue","parrot, snake, shark, swan"
55107,taxonomy_animal,"hippo, pancake, swan, monkey, strawberry, gold","swan, hippo, monkey"
53535,taxonomy_animal,"spaceship, businesswoman, monkey, sweater, snake, hippo, octopus","octopus, monkey, hippo, snake"
55050,taxonomy_animal,"tractor, spaceship, cat, lizard, panda","panda, cat, lizard"
52908,taxonomy_animal,"horse, monkey, truck, lion, car","monkey, horse, lion"
53346,taxonomy_animal,"ship, skirt, duck, bat, giraffe, elephant","giraffe, elephant, duck, bat"
54494,taxonomy_animal,"elephant, jacket, banana, gold, horse, octopus","horse, octopus, elephant"
52703,taxonomy_animal,"camel, octopus, orange, ship, olives, duck","camel, duck, octopus"
53916,taxonomy_animal,"mouse, helicopter, jellyfish, mechanic, monkey","mouse, monkey, jellyfish"
54065,taxonomy_animal,"gold, actor, camel, cat, penguin, monkey","cat, camel, penguin, monkey"
52622,taxonomy_animal,"designer, ship, penguin, rabbit, gold, octopus","octopus, penguin, rabbit"
53919,taxonomy_animal,"duck, jellyfish, hat, rabbit, monkey, skirt","monkey, duck, rabbit, jellyfish"
53733,taxonomy_animal,"goat, fly, shoe, frog, swan, red","goat, swan, fly, frog"
54822,taxonomy_animal,"elephant, jellyfish, shoe, pink, red, hippo","jellyfish, hippo, elephant"
52389,taxonomy_animal,"shirt, shoe, lizard, camel, penguin, cook","camel, penguin, lizard"
53059,taxonomy_animal,"swan, truck, dentist, snail, belt, goat","goat, swan, snail"
54151,taxonomy_animal,"panda, horse, monkey, truck, butter, gray, snail","horse, snail, monkey, panda"
52352,taxonomy_animal,"taxi, yellow, giraffe, ice cream, chicken, mouse, donkey","donkey, mouse, chicken, giraffe"
54274,taxonomy_animal,"lizard, actor, horse, soup, duck, frog","duck, lizard, frog, horse"
53412,taxonomy_animal,"shark, elephant, honey, mechanic, parrot","elephant, parrot, shark"
53775,taxonomy_animal,"spider, frog, apple, bat, swimsuit","spider, frog, bat"
54341,taxonomy_animal,"jellyfish, actor, taxi, mechanic, whale, bee","whale, jellyfish, bee"
55058,taxonomy_animal,"dress, carrot, spider, cat, whale","whale, cat, spider"
53896,taxonomy_animal,"swan, spider, ship, rabbit, horse, onion","horse, swan, rabbit, spider"
53947,taxonomy_animal,"snail, swimsuit, bat, mechanic, vegetable, frog","snail, bat, frog"
52316,taxonomy_animal,"red, frog, parrot, donkey, ice cream, octopus, brown","donkey, parrot, octopus, frog"
54747,taxonomy_animal,"cat, lizard, pink, motorway, camel, bat","camel, lizard, cat, bat"
54296,taxonomy_animal,"cat, bus, butterfly, sheep, lemon, shirt","butterfly, sheep, cat"
54033,taxonomy_animal,"octopus, scarf, panda, businessman, butterfly","panda, octopus, butterfly"
52855,taxonomy_animal,"lion, bee, helicopter, lizard, parrot, tomato","parrot, bee, lion, lizard"
55137,taxonomy_animal,"octopus, elephant, swimsuit, rabbit, gold","elephant, octopus, rabbit"
53590,taxonomy_animal,"spaceship, white, swan, dolphin, snake, camel","dolphin, camel, snake, swan"
54608,taxonomy_animal,"zebra, monkey, motorway, engineer, chicken","chicken, zebra, monkey"
53991,taxonomy_animal,"panda, truck, shark, dress, goat, plane, cat","goat, shark, cat, panda"
52597,taxonomy_animal,"whale, soup, apple, penguin, salad, monkey","whale, penguin, monkey"
54244,taxonomy_animal,"gold, elephant, lion, blue, snake","snake, lion, elephant"
52852,taxonomy_animal,"spaceship, snake, monkey, meatballs, sheep, sock, zebra","snake, sheep, zebra, monkey"
54720,taxonomy_animal,"panda, horse, white, gray, bat, tiger","tiger, panda, horse, bat"
54816,taxonomy_animal,"ambulance, strawberry, jellyfish, gold, octopus, hippo","hippo, jellyfish, octopus"
53022,taxonomy_animal,"parrot, frog, lizard, white, fly, plane, dentist","lizard, parrot, frog, fly"
53328,taxonomy_animal,"red, waiter, monkey, jellyfish, tiger, swimsuit","monkey, tiger, jellyfish"
53958,taxonomy_animal,"apple, parrot, hippo, motorway, elephant","parrot, elephant, hippo"
54972,taxonomy_animal,"tiger, blue, monkey, chicken, designer, red, giraffe","tiger, monkey, chicken, giraffe"
53243,taxonomy_animal,"trousers, parrot, goat, doctor, duck, engineer","goat, duck, parrot"
53854,taxonomy_animal,"donkey, honey, whale, hat, lizard, duck","donkey, lizard, whale, duck"
52542,taxonomy_animal,"shirt, penguin, ship, journalist, spider, duck","penguin, spider, duck"
53612,taxonomy_animal,"meatballs, fly, sheep, elephant, giraffe, brown","elephant, giraffe, fly, sheep"
53247,taxonomy_animal,"butterfly, brown, scarf, frog, monkey, shoe, mouse","mouse, frog, butterfly, monkey"
54525,taxonomy_animal,"spaceship, panda, goat, whale, pink","panda, goat, whale"
52404,taxonomy_animal,"duck, photographer, parrot, mouse, glove, potato","parrot, duck, mouse"
54277,taxonomy_animal,"zebra, designer, donkey, whale, purple, potato","zebra, whale, donkey"
53215,taxonomy_animal,"spider, nurse, shark, duck, motorway, jellyfish","jellyfish, spider, duck, shark"
52674,taxonomy_animal,"photographer, whale, sweater, hippo, shark","whale, shark, hippo"
53264,taxonomy_animal,"honey, bee, giraffe, red, snail, truck, hippo","snail, bee, giraffe, hippo"
54273,taxonomy_animal,"giraffe, burger, penguin, pasta, lion","giraffe, lion, penguin"
54918,taxonomy_animal,"frog, brown, tortoise, green, gray, zebra","tortoise, frog, zebra"
54388,taxonomy_animal,"swan, giraffe, pink, tortoise, artist, brown","giraffe, swan, tortoise"
54088,taxonomy_animal,"jeans, camel, fly, zebra, panda, taxi","fly, camel, panda, zebra"
55005,taxonomy_animal,"photographer, elephant, octopus, sheep, goat, skirt, shoe","octopus, goat, sheep, elephant"
55012,taxonomy_animal,"whale, swan, olives, octopus, blue","swan, whale, octopus"
52738,taxonomy_animal,"whale, tortoise, spider, car, jellyfish, pink, journalist","spider, tortoise, whale, jellyfish"
54896,taxonomy_animal,"watermelon, monkey, whale, octopus, red, donkey","monkey, whale, octopus, donkey"
52682,taxonomy_animal,"monkey, goat, truck, elephant, red","monkey, elephant, goat"
52230,taxonomy_animal,"bat, dolphin, snake, designer, shirt, rabbit","snake, rabbit, bat, dolphin"
54820,taxonomy_animal,"hippo, swan, actor, shoe, egg, whale","whale, hippo, swan"
54104,taxonomy_animal,"yellow, snake, sausage, whale, zebra, tiger","snake, whale, zebra, tiger"
53976,taxonomy_animal,"horse, snail, camel, cook, actor","camel, horse, snail"
53488,taxonomy_animal,"goat, motorway, shark, penguin, white, tractor, lion","shark, goat, lion, penguin"
54782,taxonomy_animal,"tortoise, rabbit, swimsuit, hat, parrot","rabbit, tortoise, parrot"
53648,taxonomy_animal,"goat, tortoise, shark, train, ship, hippo","goat, hippo, tortoise, shark"
